Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.20011825293162,2.31310424497672E-07,0.0527224714838719,0,0,0,7.44160057363593,0.550673341430934,-1.38784303146432E-07,8.47301816983124E-06,0.102252370093071,-3.46679843446467E-08,0.642667087930141,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/BASE.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/BASE.STL,,整体根关节机身1.1-1;4090六足机外壳1.1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF_HIP,-0.02841,-0.0013383,0.10482,0,0,0,1.1161,0.0013596,-3.0591E-05,0.00022242,0.0021096,1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_HIP.STL,,装配体2^4090六足3.0-1,RF_0_co,RF_0_axis,RF_HAA,revolute,0.1,-0.45,0.0895,3.1416,0,0,BASE,0,0,1,80,15.8,-3,3,,,,,,,,
RF_THIGH,-0.0284793857778061,0.0124922843671791,-0.0809891914111928,0,0,0,1.00124210184093,0.00104777246852464,0.00092923152965928,2.63860464845249E-05,0.00212933827797083,-1.15742003555609E-05,0.0028121199978105,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_THIGH.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_THIGH.STL,,装配体3^4090六足3.0-1,RF_1_CO,RF_1_AXIS,RF_HFE,revolute,-0.09,0.0795,0.154,-1.5708,0,0,RF_HIP,0,0,1,0,0,0,0,,,,,,,,
RF_SHANK,-0.00122265540921057,-0.107332155640051,-0.0108827996779151,0,0,0,0.577673514828141,0.00449636142962496,-5.31534442939036E-05,1.14279201092476E-08,6.70982844119264E-05,2.41776164816069E-06,0.00452066750610663,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_SHANK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_SHANK.STL,,小腿2.0-2,RF_2_CO,RF_2_AXIS,RF_KFE,revolute,-0.1782,0.090798,-0.0685,0,0,0,RF_THIGH,0,0,1,0,0,0,0,,,,,,,,
RF_FOOT,0.00315049033376028,0.0187638839574205,0.000250412469435857,0,0,0,0.0652350471365656,1.21479534427067E-05,-6.01498264007157E-08,2.79521528852395E-08,1.32089620990545E-05,-9.55458698113226E-08,1.43072768151951E-05,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_FOOT.STL,0.501960784313725,0.501960784313725,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RF_FOOT.STL,,足底1.1-2,RF_FOOT_CO,,RF_FIX,fixed,-0.0081826,-0.29917,-0.011107,0,0,0,RF_SHANK,0,0,0,,,,,,,,,,,,
RM_HIP,-0.02841,-0.0013382,0.10482,0,0,0,1.1161,0.0013596,-3.06E-05,0.00022242,0.0021096,1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_HIP.STL,,装配体4^4090六足3.0-1,RM_0_CO,RM_0_AXIS,RM_HAA,revolute,0,0,0.0895,3.1416,0,0,BASE,0,0,1,0,0,0,0,,,,,,,,
RM_THIGH,-0.028479,0.012492,-0.080989,0,0,0,1.0012,0.0010478,0.00092923,2.6386E-05,0.0021293,-1.1574E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_THIGH.STL,,装配体5^4090六足3.0-1,RM_1_CO,RM_1_AXIS,RM_HFE,revolute,-0.09,0.0795,0.154,-1.5708,0,0,RM_HIP,0,0,1,0,0,0,0,,,,,,,,
RM_SHANK,-0.00122265540921052,-0.107332155640051,-0.0108827996779151,0,0,0,0.577673514828141,0.00449636142962497,-5.31534442939036E-05,1.14279201092382E-08,6.70982844119265E-05,2.41776164816309E-06,0.00452066750610663,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_SHANK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_SHANK.STL,,小腿2.0-3,RM_2_CO,RM_2_AXIS,RM_KFE,revolute,-0.1782,0.090798,-0.0685,0,0,0,RM_THIGH,0,0,1,0,0,0,0,,,,,,,,
RM_FOOT,0.00315050745146095,0.0187638697177974,0.00025045316141364,0,0,0,0.0652348178450878,1.21479077971544E-05,-6.01584074528566E-08,2.79648715833423E-08,1.32089245638991E-05,-9.55662024543555E-08,1.43072591990465E-05,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_FOOT.STL,0.501960784313725,0.501960784313725,0.752941176470588,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RM_FOOT.STL,,足底1.1-3,RM_FOOT_CO,,RM_FIX,fixed,-0.0081826,-0.29917,-0.011107,0,0,0,RM_SHANK,0,0,0,,,,,,,,,,,,
RB_HIP,-0.02841,0.0013388,0.10452,0,0,0,1.1161,0.0013596,3.0609E-05,0.00022242,0.0021096,-1.3892E-05,0.0016645,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RB_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_12_6/meshes/RB_HIP.STL,,装配体6^4090六足3.0-1,RB_0_CO,RB_0_AXIS,RB_HAA,revolute,0.1,0.45,0.0892,3.1416,0,0,BASE,0,0,1,0,0,0,0,,,,,,,,
