Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,-8.7698E-07,-0.0001155,-0.14728,0,0,0,7.4416,0.10225,1.3878E-07,-3.4668E-08,0.55067,-8.473E-06,0.64267,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/BASE.STL,0.88627,0.81961,0.65882,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/BASE.STL,,4090六足机外壳1.1-1;整体根关节机身1.1-1,BASE_CO,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF_HIP,-0.00069579,-0.027572,-0.10482,0,0,0,1.1161,0.0021096,-3.06E-05,-1.3892E-05,0.0013596,-0.00022242,0.0016645,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_HIP.STL,,装配体7^4090六足3.0-1,RF_0_CO,RF_0_AX,RF_HAA,revolute,0.44916,-0.099354,-0.1105,0,0,-1.5708,BASE,0,0,1,80,15.8,-1,1,,,,,,,,
RF_THIGH,-0.029871,-0.020257,-0.080989,0,0,0,1.0012,0.0011206,-0.00096795,2.2607E-05,0.0020565,1.7864E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_THIGH.STL,,复件 (3) 装配体1^4090六足3.0-1,RF_1_CO,RF_1_AX,RF_HFE,revolute,0.080143,-0.083692,-0.15302,1.5708,0,1.5708,RF_HIP,0,0,1,80,15.8,-1,1,,,,,,,,
RF_SHANK,0.055841,-0.091671,-0.010883,0,0,0,0.57767,0.0033003,0.0019672,-1.2715E-06,0.0012631,2.0564E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_SHANK.STL,,小腿2.0-3,RF_2_CO,RF_2_AX,RF_KFE,revolute,-0.1693,-0.11569,-0.0685,0,0,0,RF_THIGH,0,0,1,80,15.8,-1,1,,,,,,,,
RF_FOOT,-0.00024987,-0.0072718,-0.017582,0,0,0,0.065235,1.4307E-05,-7.3984E-08,-6.646E-08,1.25E-05,5.0324E-07,1.2857E-05,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_FOOT.STL,0.50196,0.50196,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RF_FOOT.STL,,足底1.1-3,RF_FOOT_CO,,RF_FIX,fixed,0.15159,-0.25804,-0.011107,1.5708,1.5708,0,RF_SHANK,0,0,0,,,,,,,,,,,,
RM_HIP,0.0023852,-0.028272,-0.10482,0,0,0,1.1161,0.0021096,3.0591E-05,1.3892E-05,0.0013596,-0.00022242,0.0016645,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_HIP.STL,,装配体8^4090六足3.0-1,RM_0_CO,RM_0_AX,RM_HAA,revolute,-0.00013893,-0.19895,-0.1105,0,0,-1.5708,BASE,0,0,1,80,15.8,-1,1,,,,,,,,
RM_THIGH,-0.024916,-0.019464,-0.093011,0,0,0,1.0012,0.0010542,-0.00093295,-2.3217E-05,0.0021229,-1.7064E-05,0.0028121,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_THIGH.STL,,复件 (2) 装配体2^4090六足3.0-1,RM_1_CO,RM_1_AX,RM_HFE,revolute,0.095547,-0.090004,-0.15295,1.5708,0,1.5708,RM_HIP,0,0,1,80,15.8,-1,1,,,,,,,,
RM_SHANK,0.052579,-0.09358,-0.011117,0,0,0,0.57767,0.0034316,0.0018935,1.1703E-06,0.0011318,-2.1157E-06,0.0045207,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_SHANK.STL,,小腿2.0-5,RM_2_CO,RM_2_AX,RM_KFE,revolute,-0.16759,-0.10997,-0.0835,0,0,0,RM_THIGH,0,0,1,80,15.8,-1,1,,,,,,,,
RM_FOOT,0.00025008,-0.011768,-0.014951,0,0,0,0.065237,1.4307E-05,2.1816E-08,9.7324E-08,1.2342E-05,4.1449E-07,1.3015E-05,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_FOOT.STL,0.50196,0.50196,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RM_FOOT.STL,,足底1.1-5,RM_FOOT_CO,,RM_FIX,fixed,0.15074,-0.25854,-0.010893,1.5708,1.5708,0,RM_SHANK,0,0,0,,,,,,,,,,,,
RB_HIP,0.0023139,-0.028006,-0.10482,0,0,0,1.1161,0.0021096,3.0592E-05,1.3892E-05,0.0013596,-0.00022242,0.0016645,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RB_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4090_3.0_2.SLDASM/meshes/RB_HIP.STL,,装配体4^4090六足3.0-1,RB_0_CO,RB_0_AX,RB_HAA,revolute,-0.45041,-0.099022,-0.1105,0,0,-1.5708,BASE,0,0,1,80,15.8,-1,1,,,,,,,,
